"sku","qty"
"ele1800d24grc","0.0000"
"ele1800f28crc","0.0000"
"ele1800f28grc","0.0000"
"ele2032f24crc","0.0000"
"ele1800f36scrc","0.0000"
"ele1800f36sgrc","0.0000"
"ele2801d27cgtrc","0.0000"
"ele2801d27ggtrc","0.0000"
"ele2032d24crc","0.0000"
"ele2033f24crc","0.0000"
"ele9208d24dbgtrc","0.0000"
"ele9208d24fggtrc","0.0000"
"ele9208d24pwgtrc","0.0000"
"ele2801d30grc","0.0000"
"ele2801d30crc","0.0000"
"ele2006d28crc","0.0000"
"ele2528f36crc","0.0000"
"ele2033d24crc","0.0000"
"ele8006g35grc","0.0000"
"ele8006g35crc","0.0000"
"ele2035d32crc","0.0000"
"ele2800d30ggtrc","0.0000"
"ele2800d30cgtrc","0.0000"
"ele2031d28crc","0.0000"
"ele2801d30ggtrc","0.0000"
"ele2801d30cgtrc","0.0000"
"ele2030d32crc","0.0000"
"ele1800d28grc","0.0000"
"ele1800d28crc","0.0000"
"ele2800d36grc","0.0000"
"ele2800d36crc","0.0000"
"ele8949d30crc","0.0000"
"ele8949d30grc","0.0000"
"ele1900g30grc","0.0000"
"ele1900g30crc","0.0000"
"ele2011g41crc","0.0000"
"ele2011g41grc","0.0000"
"ele1800f40scrc","0.0000"
"ele1800f40sgrc","0.0000"
"ele2006g28crc","0.0000"
"elev1801sr22grc","0.0000"
"elev1801sr22crc","0.0000"
"ele2031d32crc","0.0000"
"ele1800sr22grc","0.0000"
"ele1800sr22crc","0.0000"
"ele2801d36grc","0.0000"
"ele2801d36crc","0.0000"
"ele2038d26crc","0.0000"
"ele2800d36cgtrc","0.0000"
"ele2800d36ggtrc","0.0000"
"ele2800d38grc","0.0000"
"ele2800d38crc","0.0000"
"ele7815g33cgtrc","0.0000"
"ele7825g43grc","0.0000"
"ele7825g43crc","0.0000"
"ele7915g33cgtrc","0.0000"
"ele7925g43crc","0.0000"
"ele7925g43grc","0.0000"
"ele2039d26crc","0.0000"
"ele2032d28crc","0.0000"
"ele2800d30gtgtrc","0.0000"
"ele9210d28dbrc","0.0000"
"ele9210d28fgrc","0.0000"
"ele9210d28pwrc","0.0000"
"ele1800f36grc","0.0000"
"ele1800f36crc","0.0000"
"ele2033d28crc","0.0000"
"ele2801d38crc","0.0000"
"ele2801d36cgtrc","0.0000"
"ele2801d36ggtrc","0.0000"
"ele2801d38grc","0.0000"
"ele2800d38ggtrc","0.0000"
"ele2800d38cgtrc","0.0000"
"ele2006g30crc","0.0000"
"ele2038d26cgtrc","0.0000"
"ele2801d38ggtrc","0.0000"
"ele2801d38cgtrc","0.0000"
"ele2039d26cgtrc","0.0000"
"ele2039d26cssrc","0.0000"
"ele2032d32crc","0.0000"
"ele9210d28fggtrc","0.0000"
"ele9210d28pwgtrc","0.0000"
"ele9210d28dbgtrc","0.0000"
"ele1800f42crc","0.0000"
"ele1800f42grc","0.0000"
"ele2033d32crc","0.0000"
"ele8008g44grc","0.0000"
"ele8008g44crc","0.0000"
"ele1800g30crc","0.0000"
"ele1800g30grc","0.0000"
"ele2800g44grc","0.0000"
"ele2800g44crc","0.0000"
"ele2800d36gtgtrc","0.0000"
"ele2006g32crc","0.0000"
"elev1801sr30grc","0.0000"
"elev1801sr30crc","0.0000"
"ele1800sr30grc","0.0000"
"ele1800sr30crc","0.0000"
"ele1800g36scrc","0.0000"
"ele1800g36sgrc","0.0000"
"ele2801g44grc","0.0000"
"ele2801g44crc","0.0000"
"ele2800g44ggtrc","0.0000"
"ele2800g44cgtrc","0.0000"
"ele2800g52crc","0.0000"
"ele2800g52grc","0.0000"
"ele7825g43cgtrc","0.0000"
"ele7925g43cgtrc","0.0000"
"ele2801g44ggtrc","0.0000"
"ele2801g44cgtrc","0.0000"
"ele1800f48grc","0.0000"
"ele1800f48crc","0.0000"
"ele2801g52crc","0.0000"
"ele2801g52grc","0.0000"
"elev1801sr36crc","0.0000"
"elev1801sr36grc","0.0000"
"ele2800g52cgtrc","0.0000"
"ele2800g52ggtrc","0.0000"
"ele2800g46grc","0.0000"
"ele2800g46crc","0.0000"
"ele8949g36crc","0.0000"
"ele8949g36grc","0.0000"
"ele1800sr36grc","0.0000"
"ele1800sr36crc","0.0000"
"ele1800g36grc","0.0000"
"ele2801g52ggtrc","0.0000"
"ele2801g52cgtrc","0.0000"
"ele2800g46ggtrc","0.0000"
"ele2800g46cgtrc","0.0000"
"ele2801g46grc","0.0000"
"ele2801g46crc","0.0000"
"ele2801g46ggtrc","0.0000"
"ele2801g46cgtrc","0.0000"
"ele2038g42crc","0.0000"
"ele1800g42grc","0.0000"
"ele1800g42crc","0.0000"
"elev1801sr48grc","0.0000"
"elev1801sr48crc","0.0000"
"ele2039g42crc","0.0000"
"ele1800sr48grc","0.0000"
"ele1800sr48crc","0.0000"
"ele2800g60grc","0.0000"
"ele2800g60crc","0.0000"
"ele2800g54grc","0.0000"
"ele2800g54crc","0.0000"
"ele2038g42cgtrc","0.0000"
"ele2801g60grc","0.0000"
"ele2801g60crc","0.0000"
"ele2800g60ggtrc","0.0000"
"ele2800g72crc","0.0000"
"ele2800g60cgtrc","0.0000"
"ele2800g72grc","0.0000"
"ele2039g42cgtrc","0.0000"
"ele2039g42cssrc","0.0000"
"ele2800g54cgtrc","0.0000"
"ele2800g54ggtrc","0.0000"
"ele2801g54grc","0.0000"
"ele2801g54crc","0.0000"
"ele2801g60ggtrc","0.0000"
"ele2801g72grc","0.0000"
"ele2801g72crc","0.0000"
"ele2801g60cgtrc","0.0000"
"ele2801g54ggtrc","0.0000"
"ele2801g54cgtrc","0.0000"
"ele2800g72ggtrc","0.0000"
"ele2800g72cgtrc","0.0000"
"ele2801g72ggtrc","0.0000"
"ele2801g72cgtrc","0.0000"
"ele2800g96grc","0.0000"
"ele2800g96crc","0.0000"
"ele2801g96grc","0.0000"
"ele2801g96crc","0.0000"
"ele2800g96ggtrc","0.0000"
"ele2800g96cgtrc","0.0000"
"ele9245g54fgrc","0.0000"
"ele9245g54pwrc","0.0000"
"ele9245g54dbrc","0.0000"
"ele2801g96ggtrc","0.0000"
"ele2801g96cgtrc","0.0000"
"ele9245g54dbgtrc","0.0000"
"ele9245g54pwgtrc","0.0000"
"ele9245g54fggtrc","0.0000"
"et2e2427020pc","0.0000"
"et2e2427720pc","0.0000"
"et2e2011424","0.0000"
"et2e2313510pc","0.0000"
"et2e2311918","0.0000"
"et2e2131010pc","0.0000"
"et2e2313710pc","0.0000"
"et2e2011818","0.0000"
"et2e2209428","0.0000"
"et2e2131510bz","0.0000"
"et2e2131610pc","0.0000"
"et2e2131710bz","0.0000"
"et2e2311518","0.0000"
"et2e2312918pc","0.0000"
"et2e6310911sn","0.0000"
"et2e2283518pcpc","0.0000"
"ele1130d17dbrc","0.0000"
"ele1130d17dbgtrc","0.0000"
"ele1130d17dbssrc","0.0000"
"ele1130d17pnrc","0.0000"
"ele1130d17pngtrc","0.0000"
"ele1130d17pnssrc","0.0000"
"ele1130d20dbrc","0.0000"
"ele1130d20dbgtrc","0.0000"
"ele1130d20dbssrc","0.0000"
"ele1130d20pnrc","0.0000"
"ele1130d20pngtrc","0.0000"
"ele1130d20pnssrc","0.0000"
"ele1130d25dbrc","0.0000"
"ele1130d25dbgtrc","0.0000"
"ele1130d25dbssrc","0.0000"
"ele1130d25pnrc","0.0000"
"ele1130d25pngtrc","0.0000"
"ele1130d25pnssrc","0.0000"
"ele1130d32pnrc","0.0000"
"ele1130d32pngtrc","0.0000"
"ele1130d32pnssrc","0.0000"
"ele1130g43dbrc","0.0000"
"ele1130g43dbgtrc","0.0000"
"ele1130g43dbssrc","0.0000"
"ele1130g43pnrc","0.0000"
"ele1130g43pngtrc","0.0000"
"ele1130g43pnssrc","0.0000"
"ele1130g43rirc","0.0000"
"ele1130g43rigtrc","0.0000"
"ele1130g43rissrc","0.0000"
"ele1130g60dbrc","0.0000"
"ele1130g60dbgtrc","0.0000"
"ele1130g60dbssrc","0.0000"
"ele1130g60pnrc","0.0000"
"ele1130g60pngtrc","0.0000"
"ele1130g60pnssrc","0.0000"
"ele1201d20mbrc","0.0000"
"ele1201d20mbgtrc","0.0000"
"ele1201d20mbssrc","0.0000"
"ele1201d20pnrc","0.0000"
"ele1201d20pngtrc","0.0000"
"ele1201d20pnssrc","0.0000"
"ele1201d26mbrc","0.0000"
"ele1201d26mbgtrc","0.0000"
"ele1201d26mbssrc","0.0000"
"ele1201d26pnrc","0.0000"
"ele1201d26pngtrc","0.0000"
"ele1201d26pnssrc","0.0000"
"ele1201d32mbrc","0.0000"
"ele1201d32mbgtrc","0.0000"
"ele1201d32mbssrc","0.0000"
"ele1201d32pnrc","0.0000"
"ele1201d32pngtrc","0.0000"
"ele1201d32pnssrc","0.0000"
"ele1201d44mbrc","0.0000"
