"RMA Name Pattern","RMA Name Pattern"
{{prefix}}-id-{{suffix}},{{prefix}}-id-{{suffix}}
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Request Configuration","Request Configuration"
"Allow RMA for Each Item of An Order","Allow RMA for Each Item of An Order"
"Allow Uploading Attachments","Allow Uploading Attachments"
"Allow File Formats","Allow File Formats"
"Separated by comma(,).","Separated by comma(,)."
"Google Recaptcha","Google Recaptcha"
"Please install <a href=""https://www.mageplaza.com/magento-2-google-recaptcha/"" target=""_blank"">Mageplaza Google Recaptcha</a>.","Please install <a href=""https://www.mageplaza.com/magento-2-google-recaptcha/"" target=""_blank"">Mageplaza Google Recaptcha</a>."
"Default Request Status","Default Request Status"
"The default status when customers have just submitted RMA requests.","The default status when customers have just submitted RMA requests."
"Customer can Cancel Request in Status","Customer can Cancel Request in Status"
"Customers are allowed to cancel RMA requests with the orders at the selected status above.","Customers are allowed to cancel RMA requests with the orders at the selected status above."
"Admin reply under Name","Admin reply under Name"
"Order Condition","Order Condition"
"Leave empty to apply for all Orders.","Leave empty to apply for all Orders."
"Additional Fields","Additional Fields"
"Email Configuration","Email Configuration"
"Install Mageplaza SMTP to avoid sending to spam box.","Install Mageplaza SMTP to avoid sending to spam box."
Sender,Sender
"Admin Email","Admin Email"
"Separated by comma(,). When the customer submits a RMA request, a notification email will be sent to the admin via this address.","Separated by comma(,). When the customer submits a RMA request, a notification email will be sent to the admin via this address."
"Notice Admin About A New Reply","Notice Admin About A New Reply"
"Notification Email Temple to Customers","Notification Email Temple to Customers"
"Notification Email Temple to Admins","Notification Email Temple to Admins"
"Notification New Request Email Temple to Admins","Notification New Request Email Temple to Admins"
ID,ID
Item(s),Item(s)
"Total Qty","Total Qty"
"Total Price","Total Price"
"Add Request","Add Request"
"Request Increment ID","Request Increment ID"
"Last responded by","Last responded by"
"Add Rule","Add Rule"
"All Websites","All Websites"
"All Customer Group","All Customer Group"
"Delete Rules","Delete Rules"
"Are you sure you wan't to delete selected Rules?","Are you sure you wan't to delete selected Rules?"
"Change Status","Change Status"
Yes,Yes
"Delete Shipping Labels","Delete Shipping Labels"
"Are you sure you wan't to delete selected Shipping Labels?","Are you sure you wan't to delete selected Shipping Labels?"
Disable,Disable
"Add Status","Add Status"
"Delete Statuses","Delete Statuses"
"Are you sure you wan't to delete selected Statuses?","Are you sure you wan't to delete selected Statuses?"
"Change Active","Change Active"
"Status Title","Status Title"
"RMA Terms And Conditions","RMA Terms And Conditions"
